id,work_date,category,description,status
2,2025-09-12,Software,Install Bbarcode Program,done
3,2025-09-13,Software,Install Bbarcode Program,done
4,2025-09-15,Software,ติดตั้งโปรแกรม Bbarcode (ปริ้นเหลือง) เครื่องประชาสัมพันธ์ สาขา บ้านฉาง0,done
5,2025-09-15,Software,Check CCTV ชื่อไม่ตรง,done
6,2025-09-15,Software,Remote Computer บ้านฉาง Line login ใช้ไม่ได้,done
7,2025-09-15,Software,Weighing Scale ติดตั้ง Driver,done
8,2025-09-16,"Configuration,System",Hard lock 183.88.233.127 ใช้ไม่ได้ เปลี่ยนมาใช้ .189 = Reserver,done
9,2025-09-18,Software,"Internet WAN 2 มีปัญหา 16/09/2568 
",done
10,2025-09-18,Software,เครื่องปริ้น 192.168.44.25 ปริ้นขาว ปริ้นไม่ออกสาเหตุ Driverเครื่องปริ้นหาย,done
11,2025-09-18,Software,ปริ้นไฟล์ Error 567 => เช็คoutputออกไปที่ไหน แล้วค่อยแก้ไขไฟลที่ปริ้น,done
12,2025-09-18,Software,ปริ้นไม่ออก ปริ้นจากหน้าห้องผักเข้าเครื่อง Cannon imagerunner 16431 ii ปริ้นไม่ออก => สลับเครื่องปริ้น,done
13,2025-09-19,General,"เปลี่ยนชุดหัวสายฉีดในห้องน้ำ
",done
14,2025-09-20,Software,Weighing Scale install Driver,done
15,2025-09-20,Software,ไอคอนโปรแกรม หน้า Desktop จุดประชาสัมพันธ์หาย,done
16,2025-09-20,Hardware,"เปลี่ยน UPS 2 ตัว => โซนของเล่น,บนห้องผัก",done
17,2025-09-22,Software,"ตั้งค่า Windows ให้ยอมรับไฟลจาก Network Pathโดยไม่แจ้งเตือน (เปิดโปรแกรมโดยที่ไม่ต้องเลือก Open , Close)
",done
18,2025-09-22,Software,check Printer Cartridge,done
19,2025-09-26,General,"จากร้านไป > จากวรรณมาบพุตไป advice 6.1 km  > ร้านกล้องตรงข้ามโรงเรียนมณีวรรณ 450 m >		
หจก.โปรเกรสดิจิตอล 1.4 km > Home pro 2.6 km > กลับร้าน 3.9 km ",done
20,2025-10-02,General,2/10/2568 จากร้านไป >  บ้านฉางไปกลับ 37 ,done
21,2025-10-03,Hardware,3/10/2568 จากร้านไป >  สาขา 3 11.2 ดูเครื่องช่าง 	,done
22,2025-10-04,General,"4/10/2568 จาก วรรณมาบพุตไปสาขา 3 ดูไฟเครื่องแช่เย็น >ไปซื้อหลอดไฟ  DIY 550 m > โวทแอ้มป์ 8 km  >  ศรีเจริญการไฟฟ้า 10.3 km  > กลับร้าน 3 >  4.4 km  = 34.45km 
",done
23,2025-10-17,Software,"17/10/2568 จาก วรรณมาบตาพุตไปสาขา 1 แก้ไขปัญหาคอมพิวเตอร์ ไปกลับ 33.8 km
",done
24,2025-10-28,Software,28/10/2568 จาก วรรณมาบตาพุตไปสาขา 1 แก้ไขปัญหาคอมพิวเตอร์ ไปกลับ 33.8 km,done
25,2025-10-02,General,ติดตั้งบล็อกแลน,pending
26,2025-10-30,Software,Server 183.88.233.189 ใช้ไม่ได้ช่วงเวลา 8.00 ถึง 8.09 เปลี่ยนมาใช้ 183.88.233.127,done
27,2025-10-26,Hardware,Internetใช้งานไม่ได้ช่วง 11.30- 13.00 = รีสตาร์ทใหม่ เครื่องค้าง,done
28,2025-10-31,Hardware,เปลี่ยนUPSโซนข้าวสาร,done
29,2025-10-19,Hardware,เปลี่ยนลิ้นชัก Cashier WAN3,done
30,2025-10-19,Software,เช็คเครื่อง Cashier WAN3 เครื่อง EPSON สแกนใช้ยังไม่ได้ =รอทำคูปอง,done
31,2025-10-31,Software,ปรับเวลาเครื่องช่าง,done
32,2025-09-30,Hardware,ติดตั้งกล้องวงจรปิด,done
33,2025-10-31,General,ทำบาโค๊ดExcelสำหรับสแกนสินค้า ให้พี่เพ็น,done
34,2025-10-30,Hardware,Handhelชาจไม่เข้า,done
35,2025-10-31,General,แยกข้อมูลซ้ำในไฟล์Excel,done
36,2025-10-30,General,สอนใช้ ฟังชั่น crtl+h พี่เพ็น,done
37,2025-10-30,General,แก้ไขปัญหาErrorเขียว ทำให้ค้นหาข้อมูลไม่ได้ พี่เพ็น,done
38,2025-10-31,General,ติดตั้งคอมพิวเตอร์ให้พี่นาที่Officeเก่า,done
39,2025-10-29,Hardware,Casheirลำโพงไม่ดัง,done
40,2025-10-20,Software,Driverลำโพงหายเครื่องพี่กราฟฟิก,done
41,2025-10-20,Hardware,เปิดคอมไม่ติด=ไม่ได้กดเปิดเครื่อง,done
42,2025-10-29,Hardware,กล้องตกโซนจุดรับสินค้า,done
43,2025-10-31,Software,Driverเครืองปริ้นหาย เครื่องประชาสัมพันธ์,done
44,2025-10-28,Software,Exportงานมาไม่ครบขาดลายเซ็น พี่เอ WAN5,done
